Attack_ID,Attack_Type,Department_Targeted,Severity_Level,Hour_of_Attack,Devices_Infected,Data_Stolen_MB,Response_Time_Min,Month
,,,,,,,,
1,Spamware,Finance,High,2,14,0,38,January
2,Trojan,IT,Critical,3,42,312,61,January
3,Virus,HR,Medium,14,7,0,22,January
4,Worm,Operations,High,1,89,0,74,January
5,Spyware,Finance,Critical,3,5,890,95,January
6,Spamware,Finance,Medium,9,11,0,19,January
7,Trojan,Finance,High,2,28,145,55,January
8,Worm,IT,High,4,67,0,48,January
9,Virus,Operations,Low,11,3,0,14,January
10,Spamware,HR,Medium,10,9,0,21,January
11,Spyware,Finance,Critical,2,4,1240,102,January
12,Trojan,IT,High,3,33,278,58,January
13,Worm,Finance,Critical,1,112,0,88,January
14,Spamware,Finance,High,8,16,0,31,January
15,Virus,HR,Low,15,2,0,11,January
16,Trojan,Finance,Critical,4,51,445,79,January
17,Spyware,Operations,High,3,6,560,87,January
18,Worm,IT,High,2,74,0,52,January
19,Spamware,Finance,Medium,7,13,0,24,January
20,Virus,Finance,High,1,18,0,35,January
21,Trojan,HR,Medium,14,9,88,29,January
22,Spamware,Finance,High,3,21,0,41,January
23,Worm,Operations,Critical,2,98,0,81,January
24,Spyware,Finance,Critical,1,3,2100,115,January
25,Virus,IT,Medium,10,5,0,18,January
26,Trojan,Finance,High,2,39,322,64,January
27,Spamware,HR,Low,11,7,0,16,January
28,Worm,Finance,High,3,85,0,69,January
29,Virus,Operations,Medium,13,4,0,17,January
30,Spyware,IT,High,4,8,430,72,January
31,Spamware,Finance,Critical,2,25,0,47,February
32,Trojan,Finance,Critical,3,58,512,84,February
33,Worm,IT,High,1,94,0,77,February
34,Virus,HR,Medium,12,6,0,20,February
35,Spyware,Finance,Critical,2,4,1780,108,February
36,Spamware,Finance,High,9,18,0,33,February
37,Trojan,Operations,High,4,31,198,51,February
38,Worm,Finance,Critical,2,124,0,93,February
39,Virus,IT,Low,14,2,0,12,February
40,Spamware,Finance,High,3,22,0,42,February
41,Spyware,HR,High,1,5,670,89,February
42,Trojan,Finance,Critical,2,64,588,91,February
43,Worm,Operations,High,3,78,0,63,February
44,Spamware,Finance,Critical,1,31,0,56,February
45,Virus,Finance,Medium,10,8,0,23,February
46,Trojan,IT,High,4,44,355,67,February
47,Spyware,Finance,Critical,3,6,1450,99,February
48,Worm,HR,High,2,61,0,54,February
49,Spamware,Finance,High,8,19,0,36,February
50,Virus,Operations,Low,15,3,0,13,February
51,Trojan,Finance,Critical,2,72,634,97,February
52,Spamware,IT,Medium,11,10,0,22,February
53,Worm,Finance,Critical,1,138,0,101,February
54,Spyware,Operations,Critical,3,7,890,94,February
55,Virus,HR,Medium,13,5,0,19,February
56,Trojan,Finance,High,4,48,412,71,February
57,Spamware,Finance,High,2,27,0,49,February
58,Worm,IT,High,3,83,0,66,February
59,Virus,Finance,Medium,10,9,0,25,February
60,Spyware,Finance,Critical,2,5,1920,112,February
61,Spamware,Finance,Critical,1,36,0,61,February
62,Trojan,HR,High,3,22,175,44,February
63,Worm,Finance,Critical,2,151,0,107,February
64,Virus,Operations,Low,14,2,0,10,February
65,Spyware,IT,High,4,9,510,83,February
66,Spamware,Finance,High,3,24,0,45,February
67,Trojan,Finance,Critical,2,79,701,103,February
68,Worm,Operations,High,1,92,0,75,February
69,Virus,IT,Medium,11,6,0,21,February
70,Spamware,HR,Medium,9,8,0,18,February
71,Spyware,Finance,Critical,3,4,2340,121,March
72,Trojan,Finance,Critical,2,88,778,109,March
73,Worm,IT,Critical,1,167,0,114,March
74,Spamware,Finance,High,4,31,0,54,March
75,Virus,HR,Medium,13,7,0,22,March
76,Trojan,Finance,Critical,3,95,845,116,March
77,Spyware,Operations,Critical,2,8,1100,98,March
78,Worm,Finance,Critical,1,178,0,119,March
79,Spamware,Finance,Critical,3,38,0,64,March
80,Virus,IT,Low,15,2,0,11,March
81,Trojan,HR,High,4,26,201,47,March
